media_id,file_name,event_id,taken_at,location_name,latitude,longitude,people,description,tags
E01_001,E01_001.jpg,E01,1998-08-13T14:22:31+09:00,부산 광안리 해수욕장,35.1532,129.1187,P01|P02|P03,광안리 해변에서 부모와 어린 하늘이 함께 찍은 여행 기념사진,부산|가족여행|바다|캠코더
E01_002,E01_002.jpg,E01,1998-08-13T14:37:12+09:00,부산 광안리 해수욕장,35.1532,129.1187,P01|P02|P03,아버지가 광안리 해변에서 캠코더로 어린 하늘을 촬영하는 장면,부산|가족여행|바다|캠코더
E01_003,E01_003.jpg,E01,1998-08-13T15:05:48+09:00,부산 광안리 해수욕장,35.1532,129.1187,P01|P02|P03,부모가 어린 하늘과 함께 물가에서 모래와 파도를 즐기는 장면,부산|가족여행|바다|캠코더
E02_001,E02_001.jpg,E02,2003-03-05T09:07:14+09:00,서울 은솔초등학교(가상),37.5663,126.978,P01|P02|P03,초등학교 교문 앞에서 입학을 기념하는 가족사진,입학식|학교|성장|서울
E02_002,E02_002.jpg,E02,2003-03-05T09:18:46+09:00,서울 은솔초등학교(가상),37.5663,126.978,P03,새 책가방을 멘 하늘의 입학식 단독 기념사진,입학식|학교|성장|서울
E02_003,E02_003.jpg,E02,2003-03-05T09:42:09+09:00,서울 은솔초등학교(가상),37.5663,126.978,P01|P02|P03,교실 책상에 앉은 하늘과 부모님이 함께 찍은 사진,입학식|학교|성장|서울
E03_001,E03_001.jpg,E03,2006-07-23T10:36:22+09:00,제주 협재해수욕장,33.3946,126.2397,P01|P02|P03|P04,제주 협재 바다 앞에서 네 가족이 함께 찍은 여행사진,제주|가족여행|바다|물놀이
E03_002,E03_002.jpg,E03,2006-07-23T11:04:37+09:00,제주 협재해수욕장,33.3946,126.2397,P03|P04,하늘과 지우가 얕은 바닷물에서 신나게 물놀이하는 장면,제주|가족여행|바다|물놀이
E03_003,E03_003.jpg,E03,2006-07-23T12:21:15+09:00,제주 협재해수욕장,33.3946,126.2397,P01|P02|P03|P04,바닷가 야외 테이블에서 네 가족이 음료와 간식을 먹으며 쉬는 장면,제주|가족여행|바다|물놀이
E04_001,E04_001.jpg,E04,2010-11-21T12:08:44+09:00,대전 가족식당(가상),36.3504,127.3845,P01|P02|P03|P04|P05,칠순 케이크 앞에 할머니와 가족이 모두 모인 기념사진,칠순|할머니|생일|가족행사
E04_002,E04_002.jpg,E04,2010-11-21T12:26:18+09:00,대전 가족식당(가상),36.3504,127.3845,P03|P04|P05,"할머니와 손주 하늘, 지우가 다정하게 함께 찍은 사진",칠순|할머니|생일|가족행사
E04_003,E04_003.jpg,E04,2010-11-21T12:43:52+09:00,대전 가족식당(가상),36.3504,127.3845,P01|P02|P03|P04|P05,가족의 박수 속에서 할머니가 생일 케이크 촛불을 부는 순간,칠순|할머니|생일|가족행사
E05_001,E05_001.jpg,E05,2015-02-13T10:31:06+09:00,서울 미래고등학교(가상),37.5576,126.992,P01|P02|P03|P04,졸업식장에서 하늘과 가족이 함께 찍은 기념사진,졸업식|학교|성장|가족
E05_002,E05_002.jpg,E05,2015-02-13T10:44:28+09:00,서울 미래고등학교(가상),37.5576,126.992,P03,학사모와 졸업가운을 입고 꽃다발을 든 하늘의 단독사진,졸업식|학교|성장|가족
E05_003,E05_003.jpg,E05,2015-02-13T10:58:41+09:00,서울 미래고등학교(가상),37.5576,126.992,P01|P02|P03,졸업한 하늘과 부모님이 함께 찍은 사진,졸업식|학교|성장|가족
E06_001,E06_001.jpg,E06,2017-10-08T18:16:33+09:00,가평 은평캠핑장(가상),37.8315,127.5096,P01|P02|P03|P04,첫 가족 캠핑에서 텐트 앞에 모여 찍은 저녁 가족사진,캠핑|가평|모닥불|가족여행
E06_002,E06_002.jpg,E06,2017-10-08T19:03:57+09:00,가평 은평캠핑장(가상),37.8315,127.5096,P01|P02|P03|P04,텐트 앞에서 가족이 함께 저녁 식사를 준비하는 장면,캠핑|가평|모닥불|가족여행
E06_003,E06_003.jpg,E06,2017-10-08T20:21:16+09:00,가평 은평캠핑장(가상),37.8315,127.5096,P01|P02|P03|P04,모닥불 앞에 둘러앉아 이야기하며 쉬는 가족의 밤,캠핑|가평|모닥불|가족여행
E07_001,E07_001.jpg,E07,2021-05-29T13:38:25+09:00,서울 라움웨딩홀(가상),37.5167,127.041,P01|P02|P03|P04|P05,결혼식에서 신부 하늘과 가족이 함께 찍은 공식 가족사진,결혼식|웨딩|가족|서울
E07_002,E07_002.jpg,E07,2021-05-29T13:52:48+09:00,서울 라움웨딩홀(가상),37.5167,127.041,P01|P02|P03,신부 하늘이 부모님과 함께한 따뜻한 웨딩 기념사진,결혼식|웨딩|가족|서울
E07_003,E07_003.jpg,E07,2021-05-29T14:17:36+09:00,서울 라움웨딩홀(가상),37.5167,127.041,P03|P05,신부 하늘과 할머니가 손을 잡고 서로 바라보는 장면,결혼식|웨딩|가족|서울
E08_001,E08_001.jpg,E08,2024-09-14T18:12:43+09:00,부산 오션뷰 레스토랑(가상),35.158,129.1604,P01|P02|P03|P04|P05,부산 바다 야경을 배경으로 가족이 함께한 환갑 만찬 사진,환갑|부산|가족모임|저녁
E08_002,E08_002.jpg,E08,2024-09-14T18:31:29+09:00,부산 오션뷰 레스토랑(가상),35.158,129.1604,P01|P02,환갑 케이크와 꽃다발 옆에서 부모님 두 분이 함께 찍은 기념사진,환갑|부산|가족모임|저녁
E08_003,E08_003.jpg,E08,2024-09-14T19:06:54+09:00,부산 오션뷰 레스토랑(가상),35.158,129.1604,P01|P02|P03|P04|P05,가족이 식사 중 잔을 들고 건배하며 웃는 자연스러운 장면,환갑|부산|가족모임|저녁
